0.001,1
0.011,0.98
0.021,0.95
0.031,0.93
0.041,0.89
0.051,0.78
0.061,0.84
0.071,0.77
0.081,0.7
0.091,0.72
0.101,0.73
0.111,0.6
0.121,0.6
0.131,0.52
0.141,0.54
0.151,0.42
0.161,0.52
0.171,0.52
0.181,0.37
0.191,0.23
0.201,0.2
0.211,0.15
0.221,0.23
0.231,0.22
0.241,0.24
0.251,0.13
0.261,0.06
0.271,0.03
0.281,0.01
0.291,0.04
0.301,0.02
0.311,0.02
0.321,0
0.331,0
0.341,0.01
0.351,0.02
0.361,0
0.371,0
0.381,0
0.391,0
0.401,0
0.411,0
0.421,0
0.431,0
0.441,0
0.451,0
0.461,0
0.471,0
0.481,0
0.491,0
0.501,0
0.511,0
0.521,0
0.531,0
0.541,0
0.551,0
0.561,0
0.571,0
0.581,0
0.591,0
0.601,0
0.611,0
0.621,0
0.631,0
0.641,0
0.651,0.01
0.661,0
0.671,0.01
0.681,0
0.691,0
0.701,0.01
0.711,0.02
0.721,0.02
0.731,0.06
0.741,0.1
0.751,0.09
0.761,0.14
0.771,0.16
0.781,0.14
0.791,0.18
0.801,0.22
0.811,0.29
0.821,0.33
0.831,0.5
0.841,0.46
0.851,0.51
0.861,0.55
0.871,0.6
0.881,0.53
0.891,0.6
0.901,0.61
0.911,0.71
0.921,0.73
0.931,0.81
0.941,0.88
0.951,0.88
0.961,0.87
0.971,0.92
0.981,0.97
0.991,0.99
