0,1
0.01,1
0.02,1
0.03,1
0.04,0.998
0.05,0.996
0.06,0.996
0.07,0.996
0.08,0.997
0.09,0.995
0.1,0.991
0.11,0.988
0.12,0.988
0.13,0.983
0.14,0.978
0.15,0.982
0.16,0.978
0.17,0.971
0.18,0.969
0.19,0.963
0.2,0.954
0.21,0.952
0.22,0.925
0.23,0.938
0.24,0.934
0.25,0.932
0.26,0.915
0.27,0.906
0.28,0.911
0.29,0.896
0.3,0.869
0.31,0.856
0.32,0.85
0.33,0.842
0.34,0.839
0.35,0.826
0.36,0.813
0.37,0.807
0.38,0.771
0.39,0.787
0.4,0.752
0.41,0.72
0.42,0.716
0.43,0.703
0.44,0.678
0.45,0.641
0.46,0.65
0.47,0.595
0.48,0.594
0.49,0.601
0.5,0.531
0.51,0.51
0.52,0.49
0.53,0.49
0.54,0.489
0.55,0.446
0.56,0.412
0.57,0.377
0.58,0.36
0.59,0.355
0.6,0.296
0.61,0.303
0.62,0.275
0.63,0.232
0.64,0.239
0.65,0.221
0.66,0.208
0.67,0.166
0.68,0.162
0.69,0.145
0.7,0.137
0.71,0.095
0.72,0.108
0.73,0.088
0.74,0.076
0.75,0.064
0.76,0.049
0.77,0.054
0.78,0.045
0.79,0.042
0.8,0.035
0.81,0.027
0.82,0.01
0.83,0.017
0.84,0.011
0.85,0.006
0.86,0.004
0.87,0.006
0.88,0.004
0.89,0.001
0.9,0.001
0.91,0
0.92,0
0.93,0.001
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
